지점,지점명,일시,평균기온(°C),일강수량(mm),평균 풍속(m/s),평균 상대습도(%),합계 일조시간(hr),합계 일사량(MJ/m2),일 최심적설(cm),평균 지면온도(°C)
108,서울,2016. 1. 1,1.2,,1.6,73,2.1,4.61,,0.2
108,서울,2016. 1. 2,5.7,,2,76.9,3.6,4.5,,2.8
108,서울,2016. 1. 3,6.5,,1.8,80.6,2.2,4.85,,4.8
108,서울,2016. 1. 4,2,,3.1,54.4,8.6,9.03,,3
108,서울,2016. 1. 5,-2.7,,2.3,39.4,7.9,8.22,,0.1
108,서울,2016. 1. 6,-1.7,,1.8,54.3,2.2,4.69,,-0.5
108,서울,2016. 1. 7,-3.4,,2.5,51.8,9.1,9.76,,-1
108,서울,2016. 1. 8,-3.3,,2,49.8,9.2,9.83,,-1.5
108,서울,2016. 1. 9,-2.1,,2.1,57.1,8,9.28,,-1
108,서울,2016. 1. 10,0.3,,2.6,42.3,7.9,9.35,,0.2
108,서울,2016. 1. 11,-3.8,,2.8,38.3,9.1,9.89,,-1.6
108,서울,2016. 1. 12,-5.2,,2.5,46,9.1,10.02,,-2.5
108,서울,2016. 1. 13,-4.5,0.4,2,63,5.8,6.69,0.5,-1.8
108,서울,2016. 1. 14,-3.4,0,1.7,52.1,7.7,8.8,0.4,-1.1
108,서울,2016. 1. 15,-0.4,,1.8,52.3,6.1,7.85,0,-0.2
108,서울,2016. 1. 16,-0.2,0.1,2.9,68,1,4.86,,0.1
108,서울,2016. 1. 17,1.7,,2.4,64,0,4.23,,0.4
108,서울,2016. 1. 18,-6.3,0.2,4.8,59.8,7.8,8.31,0.4,-1.3
108,서울,2016. 1. 19,-12.8,,5.4,45.9,9.3,10.82,,-5.8
108,서울,2016. 1. 20,-10.5,,1.8,43.6,9,9.08,,-5.1
108,서울,2016. 1. 21,-7.1,,1.8,44.3,6.5,8.41,,-3.4
108,서울,2016. 1. 22,-7.6,,2.6,40.5,6.2,7.62,,-4.1
108,서울,2016. 1. 23,-11.5,0,4,42,8.3,9.18,,-5.3
108,서울,2016. 1. 24,-14.4,,3.2,48.5,9.3,10.54,,-7.9
108,서울,2016. 1. 25,-9.4,,1.9,47.1,9.5,11.22,,-5.9
108,서울,2016. 1. 26,-3.3,0.3,2.3,64.5,4.5,6.5,0.5,-2.2
108,서울,2016. 1. 27,-1.1,,2,56.3,9.4,9.55,,-1.5
108,서울,2016. 1. 28,-0.5,,1.6,51.5,2.4,5.88,,-1.1
108,서울,2016. 1. 29,1.9,,2.3,43.6,0.1,4.19,,0.3
108,서울,2016. 1. 30,0.6,,2,59.5,6.3,8.01,,-0.3
108,서울,2016. 1. 31,-3.9,,3.2,34,7.9,10.75,,-1.1
108,서울,2016. 2. 1,-6,,3,36,9.6,12.01,,-2.7
108,서울,2016. 2. 2,-5.3,,2.2,41.8,9.8,12.05,,-3
108,서울,2016. 2. 3,-2.4,,1.9,49.6,7.5,10.46,,-1.8
108,서울,2016. 2. 4,-0.7,,2.4,50.1,7.9,9.82,,-0.5
108,서울,2016. 2. 5,-2.2,,2.5,39.4,8.9,10.71,,-0.9
108,서울,2016. 2. 6,-3.1,,2.9,38.6,9.8,12.22,,-1.3
108,서울,2016. 2. 7,-2.9,,2,46.5,9.8,12.44,,-1.6
108,서울,2016. 2. 8,1.3,,3.1,62.1,2.8,5.55,,0.7
108,서울,2016. 2. 9,0.3,,3,52.5,9.5,11.45,,0.6
108,서울,2016. 2. 10,2.7,,1.6,38.5,9.8,12.74,,0.8
108,서울,2016. 2. 11,8.1,0.1,3.5,29.3,4.6,7.87,,2.7
108,서울,2016. 2. 12,8.4,18,3.2,95.3,0,1.1,,4.5
108,서울,2016. 2. 13,11,21,3.3,95,0,3.78,,8.7
108,서울,2016. 2. 14,-2.6,2.5,4.6,73.1,0.1,2.98,,1.9
108,서울,2016. 2. 15,-5.8,0,4,48.4,9.8,14.52,,-0.6
108,서울,2016. 2. 16,-2.7,0.8,2.7,65.6,3.2,5.58,1.2,-0.3
108,서울,2016. 2. 17,0,,2.3,53.9,10,14.42,,0.3
108,서울,2016. 2. 18,3.5,,3.2,66.4,5.9,8.26,,1.9
108,서울,2016. 2. 19,2.3,,1.7,56.4,0.5,5.1,,1.1
108,서울,2016. 2. 20,1.3,,2.9,37.1,9.4,13.13,,2.6
108,서울,2016. 2. 21,-0.6,,2.9,36.4,10,13.63,,1.6
108,서울,2016. 2. 22,1.1,0,1.9,36.6,0,5.76,,1.5
108,서울,2016. 2. 23,0.7,0.9,3.2,56,9.1,14.55,0.3,3.5
108,서울,2016. 2. 24,-3,,2.9,42,10.3,15.48,,1.6
108,서울,2016. 2. 25,-0.2,,2.7,49.9,10.1,11.24,,1.2
108,서울,2016. 2. 26,2.2,0,2.2,41.3,10.4,15.23,,3.4
108,서울,2016. 2. 27,3.3,0.2,2,57.6,6.3,11.21,,4.5
108,서울,2016. 2. 28,0.7,4.1,2.1,65.5,1.5,4.76,5,1.4
108,서울,2016. 2. 29,-3.8,0,4,48.6,8.6,10.38,4.3,0.4
108,서울,2016. 3. 1,-2.7,,2.5,47.3,9.3,14.8,,0.8
108,서울,2016. 3. 2,3.1,,2.9,67.9,5.4,8.08,,3.4
108,서울,2016. 3. 3,8.1,,1.9,65.1,5.4,10.26,,7.2
108,서울,2016. 3. 4,13.2,0.1,2.7,55.3,9.8,14.61,,11.1
108,서울,2016. 3. 5,11.3,40,2.6,91.3,0,1.16,,10.5
108,서울,2016. 3. 6,7.9,0.2,2.8,51,8.8,15.21,,10.1
108,서울,2016. 3. 7,8.1,0,2,36.9,0.8,4.36,,6.8
108,서울,2016. 3. 8,2.7,,3.1,40.4,2,8.54,,5.1
108,서울,2016. 3. 9,0.3,,3.5,37.5,9.9,17.09,,4.2
108,서울,2016. 3. 10,-1.1,,3.2,37.8,10.9,18.12,,3.6
108,서울,2016. 3. 11,-0.5,,2.6,43.8,11.2,18.25,,3.5
108,서울,2016. 3. 12,2,,2.5,55.6,5.8,9.56,,3.2
108,서울,2016. 3. 13,3.7,0.1,1.6,68.1,0.6,6.18,,4.4
108,서울,2016. 3. 14,4.7,,2.6,57,9.2,14.56,,6.4
108,서울,2016. 3. 15,5.2,,2.2,43.4,8.9,16.25,,6.6
108,서울,2016. 3. 16,7.5,,2,45.1,10.1,16.66,,9.7
108,서울,2016. 3. 17,9.3,,1.4,40.9,6.4,11.77,,7.3
108,서울,2016. 3. 18,13.4,,2.4,50,6.7,13.54,,13.7
108,서울,2016. 3. 19,11.4,,2.5,58.3,10.6,16.37,,13.2
108,서울,2016. 3. 20,10.6,,2.2,54,10.4,17.03,,13.5
108,서울,2016. 3. 21,9.9,,2.2,54.1,10.8,16.83,,12.4
108,서울,2016. 3. 22,8,,2.5,58.1,10.2,15.38,,11.2
108,서울,2016. 3. 23,8.2,,2.9,49.6,10.4,16.73,,11.4
108,서울,2016. 3. 24,7.2,,2.4,36.5,11.6,18.91,,11.9
108,서울,2016. 3. 25,7.1,,2.2,43.9,10.7,16.07,,10.9
108,서울,2016. 3. 26,6.5,,2.2,54.5,9.2,15.3,,10.5
108,서울,2016. 3. 27,7.2,,2.6,55.6,11.1,17.19,,11.8
108,서울,2016. 3. 28,9.8,,2,47.8,11.3,17.82,,13.5
108,서울,2016. 3. 29,11.3,0.1,3.2,57.8,5.9,12.55,,12.6
108,서울,2016. 3. 30,11.5,,2.2,49.9,10.5,18.01,,15.9
108,서울,2016. 3. 31,13.5,,2.1,27,9.8,15.57,,15.2
108,서울,2016. 4. 1,15.3,,2,26,10.3,18.16,,16.7
108,서울,2016. 4. 2,15,,2.3,40.8,9,16.99,,18.5
108,서울,2016. 4. 3,10.7,2,1.7,75.1,0,3.23,,11.1
108,서울,2016. 4. 4,12.3,,2.2,42.6,11.2,20.8,,16.8
108,서울,2016. 4. 5,11.4,,2.5,45.1,11.6,20.04,,16.7
108,서울,2016. 4. 6,14.4,3,1.9,44.3,8,15.13,,15.7
108,서울,2016. 4. 7,14.1,7.5,3,69.5,8.8,16.95,,15.8
108,서울,2016. 4. 8,11.1,,2.5,76.1,9.2,18.15,,15.4
108,서울,2016. 4. 9,10.7,,1.8,83.9,0,4.52,,12.7
108,서울,2016. 4. 10,13.4,,2.1,71.3,5,14.02,,15.9
108,서울,2016. 4. 11,12.5,,2.4,43.8,12,21.04,,16.7
108,서울,2016. 4. 12,14.1,,2.3,42.6,7.8,15.36,,16.3
108,서울,2016. 4. 13,15.6,1,1.7,67.5,6.8,13.86,,17.1
108,서울,2016. 4. 14,12.4,,2.6,75.9,6.5,14.06,,16.4
108,서울,2016. 4. 15,15,,2.6,46.4,11.5,20.94,,19
108,서울,2016. 4. 16,14.9,23.5,2.9,58.9,2.8,7.23,,15.4
108,서울,2016. 4. 17,10.8,20.5,4.7,66.8,6.9,13.8,,14.2
108,서울,2016. 4. 18,11.2,1.5,3.1,65.4,9.2,18.4,,14.9
108,서울,2016. 4. 19,12,,2.2,55.1,12,22.1,,16.8
108,서울,2016. 4. 20,14.3,0.5,2.1,54,5.3,13.4,,16.3
108,서울,2016. 4. 21,13.5,17,2.8,87.6,0,6.09,,14.7
108,서울,2016. 4. 22,13.5,0,2.6,83.4,2,7.77,,15.5
108,서울,2016. 4. 23,13.5,,2.1,52.1,7.9,16.76,,18
108,서울,2016. 4. 24,15.5,,1.9,39.6,11.4,22.59,,21
108,서울,2016. 4. 25,17.2,,1.7,34.8,11.9,21.21,,21.3
108,서울,2016. 4. 26,21.1,,2,34.8,9.9,19.74,,21.8
108,서울,2016. 4. 27,17.2,,3.6,32,0,8.39,,17.8
108,서울,2016. 4. 28,17.2,,2,34.4,9.4,18.95,,22.3
108,서울,2016. 4. 29,16.2,0.3,2.5,47.6,11.6,21.79,,21.9
108,서울,2016. 4. 30,15.9,,2.8,45.3,1.5,8.93,,17
108,서울,2016. 5. 1,18.8,,2.2,40.5,6.8,17.07,,20.2
108,서울,2016. 5. 2,21.1,16.5,2.2,64.5,7.5,15.89,,24.4
108,서울,2016. 5. 3,12.9,27,4.9,86.1,0,1.63,,14.8
108,서울,2016. 5. 4,15.7,,5.1,46.6,12.8,24.88,,16.6
108,서울,2016. 5. 5,18.9,7.5,1.7,50.8,10.9,21.6,,20
108,서울,2016. 5. 6,16.3,9.5,2,89.3,0,1.91,,16.8
108,서울,2016. 5. 7,16.5,,2.6,60.3,12.4,23.93,,19.3
108,서울,2016. 5. 8,19.4,,2.1,44.8,11.5,23.51,,20.8
108,서울,2016. 5. 9,20.2,0,2,43,5.4,17.4,,23.1
108,서울,2016. 5. 10,14.5,13.5,2.3,82.4,0.1,4.6,,16.9
108,서울,2016. 5. 11,16.4,,2,60.9,12.9,24.41,,21.2
108,서울,2016. 5. 12,17.8,,2.7,62.4,12.5,23.94,,22.2
108,서울,2016. 5. 13,18.6,0.5,2.1,57,11.6,24.86,,24
108,서울,2016. 5. 14,20.2,,2.3,47.1,11.1,23.78,,24.7
108,서울,2016. 5. 15,17.4,45,2.7,73.9,4.5,12.53,,20.1
108,서울,2016. 5. 16,15.9,2.5,3.2,57,12.3,24.54,,20.6
108,서울,2016. 5. 17,19.3,,1.9,48.8,13.1,24.69,,23.6
108,서울,2016. 5. 18,22.3,,1.9,40.3,13.2,25.77,,26.9
108,서울,2016. 5. 19,24.3,,1.6,36.4,13.4,24.95,,29.6
108,서울,2016. 5. 20,24,,1.8,32,12.8,23.48,,28.4
108,서울,2016. 5. 21,24.1,,2,23.8,12.4,24.05,,29.3
108,서울,2016. 5. 22,24.7,,1.9,35,11.8,24.63,,30.8
108,서울,2016. 5. 23,23.3,,2.1,43,7.7,17.7,,28.1
108,서울,2016. 5. 24,16.8,38.5,2.6,82.6,2.3,7.08,,18.5
108,서울,2016. 5. 25,19.7,,2.7,67.9,5.1,15.6,,21.1
108,서울,2016. 5. 26,19.4,0,1.8,72,1.5,8.3,,19.4
108,서울,2016. 5. 27,20.9,,1.7,61.3,8.3,20.68,,23.2
108,서울,2016. 5. 28,21.7,,2.1,56.1,13.1,23.9,,28.3
108,서울,2016. 5. 29,21.5,,2.3,56.1,8.7,20.67,,27.6
108,서울,2016. 5. 30,22.1,,2.4,57.3,12.8,24.57,,30.1
108,서울,2016. 5. 31,21.6,,2.5,63.6,11.6,21.99,,27.9
108,서울,2016. 6. 1,23.3,,2.1,45.8,13.1,24.45,,29.6
108,서울,2016. 6. 2,23.2,,2.4,38.3,13.5,25.38,,31.7
108,서울,2016. 6. 3,22.2,,2.2,48.1,11.7,22.84,,29.6
108,서울,2016. 6. 4,21.2,,1.6,51.8,2.7,11.24,,25.7
108,서울,2016. 6. 5,24.7,,1.7,47.3,11.8,24.43,,33.7
108,서울,2016. 6. 6,23.3,0,2.3,49.1,4.6,15.57,,28
108,서울,2016. 6. 7,21.7,0.1,1.7,69.5,2.3,9.42,,22.8
108,서울,2016. 6. 8,22.1,,2.3,65.9,11.6,20.45,,31.3
108,서울,2016. 6. 9,24.1,,2,59.5,12.4,22.84,,32.8
108,서울,2016. 6. 10,24.6,,2.2,60.9,12.1,21.74,,32.6
108,서울,2016. 6. 11,23.5,3,1.7,74.3,0.7,7.81,,25.9
108,서울,2016. 6. 12,23.5,1.5,2.1,79.4,3.9,10.48,,25.4
108,서울,2016. 6. 13,23.5,,2.4,70.5,9.2,19.87,,27.5
108,서울,2016. 6. 14,23.8,0,2.1,62.5,7.8,19.48,,31.8
108,서울,2016. 6. 15,20.9,15.5,2.7,81.8,1.9,7.05,,20.8
108,서울,2016. 6. 16,20.9,0,2.8,73.5,7,13.83,,22.4
108,서울,2016. 6. 17,23.8,,2.5,63.1,12,22.38,,28.6
108,서울,2016. 6. 18,24.5,,1.8,58,12.5,22.46,,31.4
108,서울,2016. 6. 19,24.1,0,1.9,64.5,8.8,18.36,,30
108,서울,2016. 6. 20,24.7,,1.7,66,6.3,16.89,,29.3
108,서울,2016. 6. 21,26,,1.7,60.1,7.2,16.41,,30.6
108,서울,2016. 6. 22,24.3,30.5,2,75.1,1,8.64,,26.2
108,서울,2016. 6. 23,24.7,0.1,2.1,71,7.3,16.45,,26.1
108,서울,2016. 6. 24,23.1,3.5,2,75.8,3.2,8.81,,23.4
108,서울,2016. 6. 25,22.8,,2.8,63.1,9.1,18.54,,24.9
108,서울,2016. 6. 26,24.4,,2.7,58.4,13.4,25.57,,30.5
108,서울,2016. 6. 27,24.4,,1.6,55.5,5,13.72,,28.3
108,서울,2016. 6. 28,24.7,,1.8,61.1,9.2,17.87,,27.9
108,서울,2016. 6. 29,25.3,,2.2,58,7.5,17.64,,30.9
108,서울,2016. 6. 30,24.6,0.2,2.8,78.1,0.9,7.45,,26
108,서울,2016. 7. 1,24,108.5,2.3,86.5,0,3.23,,23.9
108,서울,2016. 7. 2,23.5,4,2.4,81.4,4.3,13.17,,24.8
108,서울,2016. 7. 3,23.5,,1.6,70.4,3.8,12.08,,23.6
108,서울,2016. 7. 4,21.8,29.5,3,85.1,0.8,5.05,,22.3
108,서울,2016. 7. 5,23.1,100.5,2.8,93.6,0,2.17,,22.9
108,서울,2016. 7. 6,22.9,0,1.9,74,6.7,15.62,,24
108,서울,2016. 7. 7,24,0,1.3,71.6,5.7,15.11,,24.9
108,서울,2016. 7. 8,27.3,,1.8,66.5,13.3,24.24,,30.7
108,서울,2016. 7. 9,27.7,,2,64.8,12.1,24.33,,34
108,서울,2016. 7. 10,27.9,,1.8,64.4,8.6,20.7,,34.5
108,서울,2016. 7. 11,28.4,0,1.7,67.4,5.6,15.06,,32.5
108,서울,2016. 7. 12,26.3,3,2.1,65.5,8.3,17.79,,29.2
108,서울,2016. 7. 13,26.3,0,2.1,69,4.6,13.8,,30
108,서울,2016. 7. 14,27.5,0.1,2.1,66.9,9.9,16.79,,32.2
108,서울,2016. 7. 15,26.2,1.5,2.6,60,2.6,12.2,,28.3
108,서울,2016. 7. 16,20.8,46.5,3.5,92.8,0,3.68,,21.5
108,서울,2016. 7. 17,21.7,2.5,2.6,82.9,0,5,,22.5
108,서울,2016. 7. 18,24.4,0.2,1.5,75.1,8.1,14.65,,25.5
108,서울,2016. 7. 19,27.1,,1.5,65.5,10.3,20.48,,29.5
108,서울,2016. 7. 20,28.6,,1.9,62.5,6.8,15.58,,30.7
108,서울,2016. 7. 21,28.3,,2.2,61.3,4.9,15.16,,31.4
108,서울,2016. 7. 22,29.1,,2.2,64,6.5,17.51,,32.4
108,서울,2016. 7. 23,28.7,0.5,1.9,70.4,3,9.93,,30.5
108,서울,2016. 7. 24,28,0.5,2,77.9,0.5,6.61,,28.1
108,서울,2016. 7. 25,28.4,,1.9,75.3,3.1,9.71,,30.1
108,서울,2016. 7. 26,28.4,,2.6,69,6.1,13.94,,32.9
108,서울,2016. 7. 27,27.6,0.5,3.2,76.4,0.2,4.67,,27.1
108,서울,2016. 7. 28,28,0.2,2.8,70.6,10,17.82,,31.9
108,서울,2016. 7. 29,26.3,59.5,1.6,82.3,0.5,5.33,,26.6
108,서울,2016. 7. 30,28.6,0.5,2.1,73.5,6.5,15.27,,29.6
108,서울,2016. 7. 31,28.9,0.2,1.6,72.1,7.6,16.33,,30.5
108,서울,2016. 8. 1,28.4,,1.6,72,5.6,16.53,,30.9
108,서울,2016. 8. 2,27.2,2,1.2,72.5,1.1,9.03,,30.3
108,서울,2016. 8. 3,29.1,,1.6,65.4,11.8,19.2,,32.3
108,서울,2016. 8. 4,30.7,,1.6,59.6,11.4,15.8,,35.9
108,서울,2016. 8. 5,31.2,,1.8,60.1,11.4,17.78,,35.1
108,서울,2016. 8. 6,30.5,,1.7,64.8,8.8,13.56,,35.5
108,서울,2016. 8. 7,30.6,,1.9,56,11.9,20.68,,38.3
108,서울,2016. 8. 8,30.5,,1.8,63.1,10.6,18.34,,38.2
108,서울,2016. 8. 9,29.3,1,1.9,68.3,6,12.45,,32.8
108,서울,2016. 8. 10,29.4,,1.9,66.3,9.3,16.98,,34.5
108,서울,2016. 8. 11,30.5,,2,64.1,12.8,22.2,,39.2
108,서울,2016. 8. 12,30.4,,2,68.3,11.8,19.62,,37.5
108,서울,2016. 8. 13,30.2,,2.4,67.9,10.4,20.66,,37.8
108,서울,2016. 8. 14,28.9,0.2,1.9,74,4.8,11.38,,33.2
108,서울,2016. 8. 15,29.1,0,1.9,65.5,8.6,17.09,,35.9
108,서울,2016. 8. 16,29.3,0.5,1.6,64.9,7.8,12.39,,35
108,서울,2016. 8. 17,29.9,,1.9,60.4,11.5,17.75,,36.4
108,서울,2016. 8. 18,29.9,,1.6,61.9,3,11.68,,33.5
108,서울,2016. 8. 19,28.9,11.5,1.4,69.5,1,9.18,,33.7
108,서울,2016. 8. 20,30.1,,1.7,59,4.6,13.72,,29.6
108,서울,2016. 8. 21,30.7,0,2.1,57.5,8.3,17.95,,33.8
108,서울,2016. 8. 22,30.7,0.4,2.1,58,11.7,18.91,,35
108,서울,2016. 8. 23,28.3,8,2.1,68.8,4.8,10.1,,29.5
108,서울,2016. 8. 24,29.1,0,1.8,59.1,6.9,13.97,,29.4
108,서울,2016. 8. 25,27.1,4.5,1.9,70.4,3.2,11.54,,28.9
108,서울,2016. 8. 26,23,20,3.6,57,7.6,17.17,,23.8
108,서울,2016. 8. 27,23.4,0,3.1,43.3,12.4,20.97,,25.4
108,서울,2016. 8. 28,21,1.5,2.6,62.5,3.6,10.21,,23.7
108,서울,2016. 8. 29,22.2,,2,54.5,7.1,16.17,,23.5
108,서울,2016. 8. 30,20.6,0,3.3,60.4,6.3,12.02,,23.1
108,서울,2016. 8. 31,17.7,17.5,3.8,85.3,0,3.02,,18.1
108,서울,2016. 9. 1,23.2,,3.1,71.3,8.8,13.76,,21.8
108,서울,2016. 9. 2,24.2,4.5,2.7,68.5,9.1,16.79,,25.5
108,서울,2016. 9. 3,23.9,0.5,1.8,73.8,3.1,8.93,,25
108,서울,2016. 9. 4,25.6,,1.5,71.3,2.7,10.25,,26
108,서울,2016. 9. 5,26.4,,1.7,66.1,8.4,14.15,,28.6
108,서울,2016. 9. 6,24.7,,1.8,69,8.3,13.98,,26.5
108,서울,2016. 9. 7,24.3,,1.8,69.8,2.5,9.88,,27
108,서울,2016. 9. 8,23,4.5,1.3,76.4,3.8,8.27,,23.3
108,서울,2016. 9. 9,23.9,,1.8,71.1,9.3,15.29,,25.5
108,서울,2016. 9. 10,24.4,,1.6,65.4,7.1,12.96,,26.4
108,서울,2016. 9. 11,24.5,,1.7,66.3,3.8,9.83,,25.6
108,서울,2016. 9. 12,23.4,2.5,1.9,68.9,6.2,9.18,,23.6
108,서울,2016. 9. 13,24.6,,1.8,62.5,8,15.74,,25.6
108,서울,2016. 9. 14,24.6,,1.8,66.1,7.2,11.88,,27.8
108,서울,2016. 9. 15,23.9,,1.3,68.1,5.8,13.62,,26.5
108,서울,2016. 9. 16,24.6,,1.5,64.9,3.8,11.91,,26.4
108,서울,2016. 9. 17,23.1,7,2.9,64.8,7.1,13.53,,23.1
108,서울,2016. 9. 18,23.5,,3.1,53.4,9.3,15.29,,24.7
108,서울,2016. 9. 19,21.9,,3.5,53.3,10.1,16.12,,25.7
108,서울,2016. 9. 20,20.6,,3.1,41.1,11.6,19.23,,24.8
108,서울,2016. 9. 21,20.2,,2,43.4,10.8,15.52,,22.9
108,서울,2016. 9. 22,21.9,,1.8,46.3,9,15.24,,26
108,서울,2016. 9. 23,21.4,,1.6,57.9,9.1,14.3,,24.6
108,서울,2016. 9. 24,22.3,,1.6,60.6,9.3,14.56,,25.5
108,서울,2016. 9. 25,23,,1.2,57.6,5.2,12.66,,26.6
108,서울,2016. 9. 26,23.6,,1.8,59.1,6.5,11.48,,26.2
108,서울,2016. 9. 27,21,13.5,1.3,82.5,0,2.77,,21.5
108,서울,2016. 9. 28,19.9,0.5,1.3,84.6,0,3.59,,20.7
108,서울,2016. 9. 29,20.4,,3,64.4,5.3,12.55,,21.3
108,서울,2016. 9. 30,20.5,,1.6,66.9,0.4,7.66,,20.9
108,서울,2016. 10. 1,21.1,,1.2,69,4.3,10.06,,21.8
108,서울,2016. 10. 2,19,18.5,2.7,84.1,0,2.6,,18.6
108,서울,2016. 10. 3,22.7,6.5,2.7,73.3,8.5,14.52,,23.6
108,서울,2016. 10. 4,22,,2.4,58.9,10.9,16.86,,22.4
108,서울,2016. 10. 5,21.1,,3,61.9,6.1,11.59,,22.1
108,서울,2016. 10. 6,18,,2.6,59.3,10.7,15.52,,21
108,서울,2016. 10. 7,19.7,2,2.6,67.8,4.7,9.25,,21.9
108,서울,2016. 10. 8,16.8,6,2.9,66.4,7.2,12.09,,18
108,서울,2016. 10. 9,11.3,,2.9,46.3,10.7,16.46,,14.6
108,서울,2016. 10. 10,14,,1.6,43.3,10.3,15.29,,16.3
108,서울,2016. 10. 11,15.4,,1.8,62.4,8,11.48,,16.5
108,서울,2016. 10. 12,15.5,,2,57,10.5,13.98,,18
108,서울,2016. 10. 13,15.2,,1.4,44.1,9.3,13.22,,17.2
108,서울,2016. 10. 14,16.7,,1.3,61.8,8.5,11.82,,17.2
108,서울,2016. 10. 15,19.1,,1.3,60.6,8.3,12.6,,19.6
108,서울,2016. 10. 16,17.2,1.5,1.5,74.1,0,3.06,,16.5
108,서울,2016. 10. 17,17.5,,1.4,76.1,7.2,9.51,,18.2
108,서울,2016. 10. 18,17,,1.4,70.9,8,12.24,,17.7
108,서울,2016. 10. 19,18,,1.5,67.6,8.7,11.84,,18.9
108,서울,2016. 10. 20,18.6,,1.8,61.3,9.3,12.55,,19.4
108,서울,2016. 10. 21,17.9,,3,58.6,3.2,8.17,,19.3
108,서울,2016. 10. 22,18.3,,1.8,59,5.4,8.59,,20.1
108,서울,2016. 10. 23,13.3,2.5,4,66.3,0.1,2.33,,13.8
108,서울,2016. 10. 24,15.1,,2.4,54.8,9.4,13.55,,16.4
108,서울,2016. 10. 25,14.1,37,2.2,84,3.2,4.25,,14
108,서울,2016. 10. 26,13.3,0,1.4,81,2.2,5.48,,13
108,서울,2016. 10. 27,14.6,,1.9,65.4,5.9,9.88,,13.5
108,서울,2016. 10. 28,14.6,0.3,2.5,61.8,4.3,7.11,,14.4
108,서울,2016. 10. 29,7.8,,3,40.3,1.1,6.54,,8.3
108,서울,2016. 10. 30,7.9,,1.5,31.9,9.7,13.56,,8.6
108,서울,2016. 10. 31,5.7,0.5,2,59.9,0,2.14,,6
108,서울,2016. 11. 1,1.5,,2.7,43.6,9.8,13.52,,4.1
108,서울,2016. 11. 2,4.1,0.1,1.4,53.1,7.6,10.76,,5.4
108,서울,2016. 11. 3,9.1,0.2,1.6,62.8,8.8,9.91,,10.8
108,서울,2016. 11. 4,12.3,0,2.7,67,2.6,5.14,,11.6
108,서울,2016. 11. 5,15,0,2.2,77.4,2.8,5.09,,15.4
108,서울,2016. 11. 6,14,,3.4,59.4,5.4,8.91,,15.3
108,서울,2016. 11. 7,12.8,5.5,2.8,71.3,2.2,5.09,,13.8
108,서울,2016. 11. 8,4.1,0.5,3.5,58,9.1,10.89,,7.4
108,서울,2016. 11. 9,2.1,,1.9,41.1,9.7,12.02,,3.5
108,서울,2016. 11. 10,6,0.4,2,55.5,0.3,3.87,,5.9
108,서울,2016. 11. 11,9.1,4,2.2,63.3,8.6,9.97,,9.3
108,서울,2016. 11. 12,11.4,,2.3,62.1,8.2,9.07,,9.7
108,서울,2016. 11. 13,14.4,0.5,1.7,74.8,3.1,6.62,,13.4
108,서울,2016. 11. 14,13.2,1.5,1.7,78.5,0,2.44,,12.8
108,서울,2016. 11. 15,5.2,,2.8,44.3,9.5,11.6,,6
108,서울,2016. 11. 16,5.2,,1.4,44.3,8.6,8.59,,4.2
108,서울,2016. 11. 17,9.1,,1.2,56.4,8,9.33,,7.5
108,서울,2016. 11. 18,10.3,0,1.9,58.4,4.1,6.39,,8.3
108,서울,2016. 11. 19,13,0,2.2,71.1,4.2,7.42,,13
108,서울,2016. 11. 20,9.8,,2.5,48.6,9.1,10.14,,10.5
108,서울,2016. 11. 21,9.5,,2.2,40.5,1.1,4.26,,8.4
108,서울,2016. 11. 22,2,0.2,3.9,43.3,4.8,7.38,,5.6
108,서울,2016. 11. 23,-1.8,,3,37.5,7.6,9.14,,1
108,서울,2016. 11. 24,-2.5,,2.1,37.8,9.2,10.5,,0
108,서울,2016. 11. 25,1,,1.5,43.9,7.4,8.31,,1.4
108,서울,2016. 11. 26,0.9,2.8,2.3,69.6,0,1.68,0.8,0.2
108,서울,2016. 11. 27,3.3,0,1.5,81.3,1.7,3.81,,4
108,서울,2016. 11. 28,1.4,,2.5,57.9,8.9,9.47,,2.4
108,서울,2016. 11. 29,1.7,,1.6,40.8,9.3,9.34,,1.6
108,서울,2016. 11. 30,6,1,2,59.8,1.6,4.37,,4.7
108,서울,2016. 12. 1,4.1,,3.6,47.6,8.5,9.39,,4.1
108,서울,2016. 12. 2,1.6,,1.8,48.4,9.3,9.82,,1.8
108,서울,2016. 12. 3,4.5,,1.4,58.8,7.9,8.76,,3.5
108,서울,2016. 12. 4,5.5,,1.2,60.1,0.5,4.16,,4.2
108,서울,2016. 12. 5,5.9,1.5,3,69.1,2.3,4.3,,6.6
108,서울,2016. 12. 6,-1.1,,2.5,38.5,9.3,9.97,,0.8
108,서울,2016. 12. 7,1.7,0,2.3,58.3,4.1,5.96,,1.1
108,서울,2016. 12. 8,2.1,3,1.7,70,3.8,5.28,,1.6
108,서울,2016. 12. 9,1.4,3,2.8,65.8,7.2,8.5,,2.8
108,서울,2016. 12. 10,-1.6,,1.9,47.6,9.2,9.45,,-0.6
108,서울,2016. 12. 11,-1.1,,1.2,42.6,9.2,9.58,,-1.4
108,서울,2016. 12. 12,2.3,,1.9,37.9,3.9,5.71,,2.2
108,서울,2016. 12. 13,3.4,,2,53.6,4.7,6.64,,2.9
